PLAN 10 JOURS — logge tes chiffres chaque soir (colonnes D→I). Le tableau de bord agrège tout automatiquement.
Jour,Phase,Focus du jour,Devis/candidatures,Cold (LinkedIn+email),Réponses,Calls,Propositions,Signatures
J1,Armement,Vérifier facturation/RIB · optimiser profils Malt+LinkedIn · publier plaquette+benchmark
J2,Armement,Lister 30–50 cibles (onglet Cibles) · finaliser les 3 offres/prix · préparer le post démo
J3,Prospection,Répondre à toutes les missions n8n/IA (codeur/Malt/Free-Work) · 15 cold LinkedIn · 10 emails
J4,Prospection,Publier le post démo (vidéo) · 20 cold LinkedIn · 15 emails · répondre missions
J5,Prospection,Relancer J3 sans réponse · 20 cold · 15 emails · répondre missions
J6,Closing,Transformer réponses en calls 15 min · envoyer 1res propositions fixes
J7,Closing,Calls · propositions · relances J4/J5
J8,Closing,Calls · propositions · relance de TOUTES les propositions sans réponse
J9,Signature,Signer · envoyer factures d'acompte 30–50 % · démarrer livraison sprint
J10,Signature,Closer les derniers · encaisser · bilan pipeline · planifier semaine 2
TOTAL,,Sollicitations = Devis + Cold,0,0,0,0,0,0
